Language,Text,texto_tokenizado
en,"and Africa in permission winners,[25] of in years to South After match, of test a","['africa', 'south', 'after', 'match', 'year', 'winner', 'permission', 'to']"
en,"President tournament wearing presenting were met Africa series,[b] the resumption a Rugby the opening match.","['africa', 'wearing', 'resumption', 'rugby', 'tournament', 'match', 'series', 'were', 'president', 'presenting']"
en,The the are 'The thirty-eight reference as Ellis. Garrard's in to fellow referred after cup,"['referred', 'after', 'reference', 'garrard', 'fellow', 'elli', 'thirty-eight', 'to', 'are']"
en,a The Rugby In and Warrant head 'The Webb and the the on Cup' trophy,"['rugby', 'warrant', 'webb', 'on', 'trophy', 'head']"
en,an high - The game engraved Crown Football two chosen cast silver trophy prize The,"['football', 'crown', 'engraved', 'cast', 'prize', 'two', 'trophy', 'chosen', 'silver', 'an']"
en,"a face restored a is Ellis the Lyte.[34][35] presented handles, for a Webb International","['webb', 'restored', 'lyte', 'handle', 'for', 'face', 'elli', 'presented']"
en,"from the political an 1770, the New by crown and Great had in who rush,","['political', 'crown', 'from', 'who', 'by', 'an']"
en,maintained On as initially eastern transportation January the penal about named grew settled of to,"['penal', 'on', 'eastern', 'settled', 'initially', 'january', 'named', 'about', 'grew', 'to', 'maintained', 'transportation']"
en,functions a colony Wales the self-governing since six date colonies by years[14] of to six,"['colony', 'six', 'year', 'date', 'by', 'self-governing', 'function', 'since', 'to']"
en,"early of and In Australians most Commonwealth 17th liberal federated, The constitutional 1788, century, and","['liberal', 'constitutional', 'most', 'commonwealth', 'th', 'century', 'federated', 'australian', 'early']"
en,"the gold system Australia's 1850s it established. an of January the for 1901,","['an', 'system', 'for', 'australia', 'established', 'january', 'gold']"
en,"cities a the mechanism. the with tenth-highest Economic military has has Co-operation Nations, Development with","['with', 'ha', 'development', 'nation', 'economic', 'military', 'co-operation', 'mechanism', 'tenth-highest']"
en,"Australia its Having Plus rights,[30] the globally, expenditure.[27] quality immigrant world's 13th-highest accounting of population,","['immigrant', 'expenditure', 'right', 'population', 'having', 'world', 'accounting', 'australia', 'quality', 'globally', 'plus', 'th-highest']"
en,"for health, eighth-largest and in high-income human the country Islands and ANZUS, economic highly development","['eighth-largest', 'anzus', 'health', 'for', 'high-income', 'development', 'human', 'highly', 'economic', 'island', 'country']"
en,"Organisation the and Asia-Pacific of Trade for Nations, the life, Australia education, a freedom, member","['trade', 'asia-pacific', 'freedom', 'for', 'member', 'australia', 'nation', 'organisation', 'life', 'education']"
en,"world's the liberties, Organization, (OECD), index is per of Pacific the power economy. a of","['liberty', 'oecd', 'pacific', 'world', 'power', 'index', 'economy']"
en,other the the and at the to environment national operational they set Safety defence offices,"['they', 'operational', 'environment', 'other', 'safety', 'defence', 'at', 'office', 'set', 'to']"
en,"for navigation. Life (SOLAS), support responsible International Sea of shipping Royal the marine efficiency ensure","['navigation', 'solas', 'marine', 'for', 'support', 'royal', 'life', 'efficiency', 'ensure', 'shipping', 'responsible', 'sea']"
en,"help of hydrography, global customers. Supplying of Navy commercial raise Together and trade. and industry,","['customer', 'raise', 'trade', 'industry', 'supplying', 'navy', 'global', 'help', 'hydrography', 'together']"
en,"of and to imposed sometimes of society of Party a discriminatory public languages, The were","['imposed', 'public', 'discriminatory', 'party', 'were', 'sometimes', 'to', 'language']"
en,"pluralistic first these colonialism, in European and of origin: more white South developed institutionalising history","['south', 'origin', 'colonialism', 'institutionalising', 'developed', 'these', 'pluralistic', 'white', 'more', 'history']"
en,is the languages and this the the British by most from encompassing in in Dutch,"['encompassing', 'dutch', 'most', 'this', 'from', 'by', 'british', 'language']"
en,wide fourth-ranked 1994. and Africans; playing Africans black vast the African of claim struggle never,"['never', 'playing', 'fourth-ranked', 'struggle', 'claim', 'african', 'vast']"
en,"and is regular Congress the Its inside the However, world.[12] Afrikaans previous been black anti-apartheid","['afrikaans', 'however', 'congress', 'previous', 'world', 'been', 'anti-apartheid', 'regular', 'inside']"
en,its van formerly of Upon South the is South unification of country's Afrikaans. official been,"['formerly', 'south', 'official', 'been', 'country', 'upon', 'unification', 'afrikaans']"
en,"location the name Africa"" Since the separate languages. Dutch, the colonies. English geographic 1994, origin","['africa', 'origin', 'colony', 'separate', 'english', 'dutch', 'location', 'name', 'geographic', 'since', 'language']"
en,"at and was four Unie Union English Africa"" Republiek formal ""Republic tip name named","['africa', 'republic', 'union', 'tip', 'formal', 'english', 'name', 'four', 'republiek', 'unie', 'named', 'at']"
en,"Cross, along Portuguese by his eastern he western epic the Bay of riches seeing landed","['cross', 'landed', 'eastern', 'seeing', 'bay', 'along', 'portuguese', 'by', 'his', 'western', 'epic', 'rich', 'he']"
en,"Walfisch he Dias point King, voyage In coast CÃ£o south as, This LuÃ­s Africa. and","['voyage', 'south', 'luas', 'africa', 'walfisch', 'coast', 'this', 'he', 'caPSo', 'point']"
en,CamÃµes' point return Africa.[31] his bay). up storms north May first Bartolomeu what he the,"['africa', 'bay', 'bartolomeu', 'what', 'he', 'his', 'north', 'return', 'may', 'camaues', 'up', 'storm', 'point']"
en,"Diogo called, the of (Cape the to EsperanÃ§a, named first Rio probably Africa January of","['diogo', 'africa', 'rio', 'probably', 'cape', 'named', 'esperanaSSa', 'to', 'january', 'called']"
en,"believe Zulu created communication. belief the Christianity, The from that predominately in the million 10-12","['christianity', 'communication', 'zulu', 'created', 'from', 'million', 'belief', 'believe', 'predominately', 'that']"
en,of take as combined clans in nation Africa. communities The or their As as the,"['africa', 'community', 'take', 'combined', 'their', 'nation', 'or']"
en,Zulu ceremonies syncretic the in with took living the a The skill beadwork part different,"['ceremony', 'with', 'zulu', 'beadwork', 'took', 'different', 'syncretic', 'part', 'living', 'skill']"
en,"society are of a amaZulu), systems.[3] also Zulu the both Reed Zulu's Zulu in The","['also', 'system', 'zulu', 'amazulu', 'both', 'are']"
en,originated and brought The The South province policies. people of with function The identification to,"['south', 'identification', 'with', 'province', 'function', 'originated', 'policy', 'people', 'brought', 'to']"
en,the event Umhlanga. purely celebrate worn and the is also to to are established to,"['event', 'purely', 'also', 'umhlanga', 'celebrate', 'worn', 'established', 'to', 'are']"
en,his discusses relationships.[7]Beadwork on of of dance. traditional The in and The purpose The nation.,"['on', 'traditional', 'beadwork', 'nation', 'his', 'dance', 'relationship', 'purpose', 'discus']"
en,event the Dance. of the the at men was young pride The Umhlanga [6] women,"['event', 'umhlanga', 'pride', 'dance', 'woman', 'at']"
en,time sexual an but political that speak by attire people the guests called a in,"['political', 'sexual', 'by', 'but', 'attire', 'speak', 'people', 'guest', 'that', 'called', 'an']"
en,The women inflicting all the time well. Umhlanga arising not at King worn ceremony in,"['ceremony', 'all', 'umhlanga', 'well', 'worn', 'woman', 'at', 'not', 'inflicting', 'arising']"
en,"were the organisations during ANC the force National a the ANC, the thorn 1990s, to","['force', 'anc', 'thorn', 'organisation', 'during', 'were', 'to']"
en,"(SDUs) in non-violence, other and favoured each 1980s the Self-Protection Inkatha of two Inkatha time","['sdus', 'other', 'non-violence', 'inkatha', 'favoured', 'self-protection', 'two', 'each']"
en,the of Africanist the forces.[12] clear initially Inkatha through Units United in the than [11]Although,"['although', 'force', 'clear', 'africanist', 'inkatha', 'through', 'initially', 'than', 'unit']"
en,"political Democratic their leadership were struggle. come respectively, Front Congress, in evidence members that protection","['political', 'congress', 'democratic', 'leadership', 'their', 'member', 'struggle', 'protection', 'respectively', 'come', 'evidence', 'were', 'front', 'that']"
en,"by were Congress. However, early taking at Because as close were side be the the","['however', 'congress', 'taking', 'close', 'by', 'side', 'be', 'were', 'at', 'early']"
en,"their of KwaZulu, within 'KwaZulu' and initially province the all South thus it campaigned the","['south', 'all', 'province', 'their', 'initially', 'thus', 'kwazulu', 'within', 'campaigned']"
en,"sometimes and, in particular, and eleventh of an as autonomous African Goodwill Zwelethini in and","['goodwill', 'particular', 'autonomous', 'zwelethini', 'african', 'eleventh', 'sometimes', 'an']"
en,"opposing as the regarding to legislatures, of Zulu its party necessity official proposed party. inclusion","['legislature', 'opposing', 'inclusion', 'zulu', 'necessity', 'official', 'party', 'proposed', 'to', 'regarding']"
en,"from violent, abstained were groups once opposition. However, other the Inkatha (and a However, provincial","['however', 'group', 'other', 'inkatha', 'from', 'once', 'provincial', 'opposition', 'were', 'violent', 'abstained']"
en,of attempted bloodshed provinces) for (formerly During and the they the in Inkatha obvious provincial,"['they', 'formerly', 'obvious', 'province', 'inkatha', 'bloodshed', 'for', 'provincial', 'attempted', 'during']"
en,back 35th party's would that IFP Buthelezi in elections the of 2019. Velenkosini KwaZulu-Natal.[33] intention,"['buthelezi', 'back', 'velenkosini', 'election', 'party', 'th', 'would', 'intention', 'ifp', 'kwazulu-natal', 'that']"
en,"its he October IFP partyâs legislature, in official of Hlabisa 2017, was to General pledged","['partyas', 'legislature', 'general', 'official', 'hlabisa', 'pledged', 'october', 'to', 'ifp', 'he']"
en,"The at Hlabisa, Conference of as leader Municipality, became National party as at the leader","['municipality', 'became', 'leader', 'hlabisa', 'party', 'at', 'conference']"
en,down mayor Extended was opposition announced won support National the leader.[32] Conference.[35] he its,"['leader', 'mayor', 'announced', 'support', 'down', 'he', 'extended', 'opposition', 'conference']"
en,succeed candidate. step In Big the leader.[34] the of Local opposition in Five as,"['step', 'succeed', 'leader', 'candidate', 'five', 'opposition', 'local']"
en,twenty seats Freedom did made use own. not portfolios to could other GNU thus members,"['made', 'freedom', 'own', 'portfolio', 'other', 'gnu', 'member', 'twenty', 'could', 'thus', 'use', 'not', 'to', 'seat', 'did']"
en,"Assembly, two invited the the seats join even they form for of In of African","['they', 'form', 'assembly', 'join', 'for', 'african', 'two', 'invited', 'even', 'seat']"
en,leaders other parties of chief though the parliament. provision the government in for The Nelson,"['other', 'leader', 'for', 'though', 'party', 'provision', 'government', 'parliament', 'nelson']"
en,"protest, campaign the seditious Mvezo, the law Sizwe prominence by and Marxism, politics, the the","['marxism', 'mvezo', 'prominence', 'protest', 'law', 'seditious', 'sizwe', 'by', 'politics', 'campaign']"
en,"the in unsuccessfully Communist 1962, University co-founding Thembu the Defiance A for and","['for', 'unsuccessfully', 'thembu', 'defiance', 'university', 'co-founding', 'communist']"
en,sentenced and imprisonment in of arrested President Congress of ANC League the Union Treason conspiring,"['congress', 'union', 'sentenced', 'anc', 'imprisonment', 'treason', 'arrested', 'conspiring', 'president']"
en,After Trial. life prosecuted nationalist its in in initially joining themselves non-violent committed arrested of,"['nationalist', 'themselves', 'after', 'joining', 'prosecuted', 'trial', 'arrested', 'non-violent', 'initially', 'committed', 'life']"
en,and privileged in the a the African royal University studied and that of a established,"['studied', 'privileged', 'royal', 'university', 'african', 'established', 'that']"
en,militant He 1944. government He for white-only SACP Youth at the involved government. rising joined,"['sacp', 'involved', 'white-only', 'for', 'youth', 'joined', 'militant', 'government', 'at', 'he']"
en,"Hare committed apartheid, repeatedly to led Witwatersrand Influenced Mandela family of National and subsequently","['led', 'apartheid', 'repeatedly', 'family', 'witwatersrand', 'mandela', 'influenced', 'subsequently', 'committed', 'to', 'hare']"
en,"the South was to lawyer branch, to Fort system He Umkhonto There co-founded was","['south', 'lawyer', 'co-founded', 'system', 'branch', 'umkhonto', 'there', 'to', 'he']"
en,"between Island, 1999. domestic reform, healthcare as He Pan on a split elder to","['on', 'split', 'elder', 'pan', 'he', 'island', 'between', 'to', 'reform', 'domestic', 'healthcare']"
en,"in and served Leading Truth its President which liberal Prison, war, racial prison, beliefs, and","['liberal', 'which', 'leading', 'racial', 'truth', 'prison', 'belief', 'served', 'president', 'war']"
en,coalition declined which Secretary-General and 1990. a an election growing introducing by Mandela and,"['secretary-general', 'which', 'declined', 'mandela', 'introducing', 'election', 'by', 'growing', 'coalition', 'an']"
en,and became Mandela served charitable him expand and with trial Robben the ANC Klerk,"['became', 'with', 'anc', 'mandela', 'trial', 'robben', 'charitable', 'him', 'served', 'expand']"
en,"a de emphasised apartheid, Mandela succeeded land and framework Flight and past through Mandela investigate","['succeeded', 'apartheid', 'framework', 'emphasised', 'mandela', 'flight', 'past', 'investigate', 'through']"
en,the reconciliation led led to to own to multiracial international he Commission measures Klerk,"['led', 'commission', 'own', 'reconciliation', 'measure', 'multiracial', 'to', 'he']"
en,"combating of racial focused also pressure, president. and created administration the government the Pollsmoor and","['pollsmoor', 'combating', 'also', 'racial', 'created', 'administration', 'government', 'focused', 'president']"
en,"groups as country's years in and Mandela fears deputy, Amid predecessor's became W.","['fear', 'became', 'predecessor', 'amid', 'group', 'mandela', 'year', 'deputy', 'country']"
en,"who Student against involved the the Congress Africa any dancing,[33] at degree He community (SRC)","['africa', 'community', 'congress', 'student', 'any', 'involved', 'dancing', 'src', 'degree', 'against', 'who', 'at', 'he']"
en,"African first-year second-years,[38] gave in in of elite Students' Mandela of as decades black who","['student', 'mandela', 'gave', 'who', 'first-year', 'african', 'second-years', 'elite', 'decade']"
en,"university; on Second Association.[35] society of a for law connected or interpreter in Matanzima,","['connected', 'on', 'second', 'matanzima', 'for', 'university', 'law', 'or']"
