Lenguage,Text,texto_tokenizado
en,"and Africa in permission winners,[25] of in years to South After match, of test a","['and', 'africa', 'in', 'permission', 'winner', 'of', 'in', 'year', 'to', 'south', 'after', 'match', 'of', 'test']"
en,"President tournament wearing presenting were met Africa series,[b] the resumption a Rugby the opening match.","['president', 'tournament', 'wearing', 'presenting', 'were', 'met', 'africa', 'series', 'the', 'resumption', 'rugby', 'the', 'opening', 'match']"
en,The the are 'The thirty-eight reference as Ellis. Garrard's in to fellow referred after cup,"['the', 'the', 'are', 'the', 'thirty-eight', 'reference', 'elli', 'garrard', 'in', 'to', 'fellow', 'referred', 'after', 'cup']"
en,a The Rugby In and Warrant head 'The Webb and the the on Cup' trophy,"['the', 'rugby', 'in', 'and', 'warrant', 'head', 'the', 'webb', 'and', 'the', 'the', 'on', 'cup', 'trophy']"
en,an high - The game engraved Crown Football two chosen cast silver trophy prize The,"['an', 'high', 'the', 'game', 'engraved', 'crown', 'football', 'two', 'chosen', 'cast', 'silver', 'trophy', 'prize', 'the']"
en,"a face restored a is Ellis the Lyte.[34][35] presented handles, for a Webb International","['face', 'restored', 'is', 'elli', 'the', 'lyte', 'presented', 'handle', 'for', 'webb', 'international']"
en,"from the political an 1770, the New by crown and Great had in who rush,","['from', 'the', 'political', 'an', 'the', 'new', 'by', 'crown', 'and', 'great', 'had', 'in', 'who', 'rush']"
en,maintained On as initially eastern transportation January the penal about named grew settled of to,"['maintained', 'on', 'initially', 'eastern', 'transportation', 'january', 'the', 'penal', 'about', 'named', 'grew', 'settled', 'of', 'to']"
en,functions a colony Wales the self-governing since six date colonies by years[14] of to six,"['function', 'colony', 'wale', 'the', 'self-governing', 'since', 'six', 'date', 'colony', 'by', 'year', 'of', 'to', 'six']"
en,"early of and In Australians most Commonwealth 17th liberal federated, The constitutional 1788, century, and","['early', 'of', 'and', 'in', 'australian', 'most', 'commonwealth', 'th', 'liberal', 'federated', 'the', 'constitutional', 'century', 'and']"
en,"the gold system Australia's 1850s it established. an of January the for 1901,","['the', 'gold', 'system', 'australia', 'it', 'established', 'an', 'of', 'january', 'the', 'for']"
en,"cities a the mechanism. the with tenth-highest Economic military has has Co-operation Nations, Development with","['city', 'the', 'mechanism', 'the', 'with', 'tenth-highest', 'economic', 'military', 'ha', 'ha', 'co-operation', 'nation', 'development', 'with']"
en,"Australia its Having Plus rights,[30] the globally, expenditure.[27] quality immigrant world's 13th-highest accounting of population,","['australia', 'it', 'having', 'plus', 'right', 'the', 'globally', 'expenditure', 'quality', 'immigrant', 'world', 'th-highest', 'accounting', 'of', 'population']"
en,"for health, eighth-largest and in high-income human the country Islands and ANZUS, economic highly development","['for', 'health', 'eighth-largest', 'and', 'in', 'high-income', 'human', 'the', 'country', 'island', 'and', 'anzus', 'economic', 'highly', 'development']"
en,"Organisation the and Asia-Pacific of Trade for Nations, the life, Australia education, a freedom, member","['organisation', 'the', 'and', 'asia-pacific', 'of', 'trade', 'for', 'nation', 'the', 'life', 'australia', 'education', 'freedom', 'member']"
en,"world's the liberties, Organization, (OECD), index is per of Pacific the power economy. a of","['world', 'the', 'liberty', 'organization', 'oecd', 'index', 'is', 'per', 'of', 'pacific', 'the', 'power', 'economy', 'of']"
en,other the the and at the to environment national operational they set Safety defence offices,"['other', 'the', 'the', 'and', 'at', 'the', 'to', 'environment', 'national', 'operational', 'they', 'set', 'safety', 'defence', 'office']"
en,"for navigation. Life (SOLAS), support responsible International Sea of shipping Royal the marine efficiency ensure","['for', 'navigation', 'life', 'solas', 'support', 'responsible', 'international', 'sea', 'of', 'shipping', 'royal', 'the', 'marine', 'efficiency', 'ensure']"
